Model,Scenario,Carbon Capture|Geological Storage,Climate Assessment|Exceedance Probability 1.5°C [MAGICCv7.5.3],Emissions|CO2,Final Energy|Electricity,Primary Energy|Biomass,Primary Energy|Fossil,Primary Energy|Non-Biomass Renewables,Primary Energy|Nuclear
COFFEE 1.1,ENGAGE-INDCi2030-2000f,19610.18708,98.83333333,-4647.083128,320.3381957,349.6634281,273.6652778,299.5413856,40.63703039
COFFEE 1.1,ENGAGE-INDCi2030-2500,12729.9177,99.83333333,10281.07657,225.9965792,279.7837276,376.2175469,230.7834742,15.89146863
COFFEE 1.1,ENGAGE-INDCi2030-2500f,12729.9177,99.83333333,10281.07657,225.9965792,279.7837276,376.2175469,230.7834742,15.89146863
COFFEE 1.1,ENGAGE-INDCi2030-400f,25489.0449,40.83333333,-21376.20717,378.3499197,530.4173622,146.132955,356.0294999,55.61267985
COFFEE 1.1,ENGAGE-INDCi2030-500,17199.03471,51.16666667,28.549735,277.9210643,362.9773261,308.029887,271.4931603,35.87569912
COFFEE 1.1,ENGAGE-INDCi2030-500f,25450.62021,45.16666667,-20201.39902,378.4298293,492.580723,157.0022171,353.1049524,56.20190605
COFFEE 1.1,ENGAGE-INDCi2030-600,16995.7021,56.83333333,27.4143235,285.7170864,358.8087893,302.8339407,275.1096279,37.1799669
COFFEE 1.1,ENGAGE-INDCi2030-600-COV-NDCp,16618.8433,71.83333333,26.870753,274.7428849,340.9617718,290.1364104,262.2613185,36.92177307
COFFEE 1.1,ENGAGE-INDCi2030-600-NDCp,17323.93298,66.16666667,26.698439,292.481282,353.3814407,301.1846017,278.4121176,38.20346428
COFFEE 1.1,ENGAGE-INDCi2030-600f,23567.81144,55.5,-17798.88403,378.209182,461.364329,165.391499,351.5768852,56.54637804
COFFEE 1.1,ENGAGE-INDCi2030-600f-COV-NDCp,23358.41124,57.66666667,-17729.51943,371.2487425,447.2239136,365.9936665,344.159486,56.13588757
COFFEE 1.1,ENGAGE-INDCi2030-600f-NDCp,23559.8651,67.33333333,-17411.90775,385.8908569,478.2251583,191.2148605,359.8545292,60.54843906
COFFEE 1.1,ENGAGE-INDCi2030-700,17241.46103,62.83333333,25.9595625,285.7937621,345.2405275,303.6535845,271.6357739,38.72935885
COFFEE 1.1,ENGAGE-INDCi2030-700f,23625.35157,60.33333333,-17259.51546,378.8818623,474.9969319,167.4964629,352.3656826,55.75629745
COFFEE 1.1,ENGAGE-INDCi2030-800,17343.49573,67.83333333,26.9895934,283.9649152,341.1371116,305.9410189,267.8374123,37.9454634
COFFEE 1.1,ENGAGE-INDCi2030-800f,23809.24062,66.0,-17029.62036,378.8759643,444.7199179,171.1049869,352.1283027,55.43493457
COFFEE 1.1,ENGAGE-INDCi2030-900,16972.58974,72.66666667,28.86446584,282.6308711,341.0779374,307.8808237,264.8153285,36.38561833
COFFEE 1.1,ENGAGE-INDCi2030-900f,23782.60157,70.66666667,-16867.22485,378.2974608,456.0799175,172.1672205,352.4281723,53.78209412
COFFEE 1.1,ENGAGE-INDCi2100,0.0,100.0,42892.4375,183.084777,95.79938972,583.1071853,163.4269841,4.525568662
COFFEE 1.1,ENGAGE-INDCi2100-COV-NDCp,0.0,100.0,36871.51413,173.8656439,102.5885669,511.9925638,166.7857218,7.179886202
COFFEE 1.1,ENGAGE-INDCi2100-NDCp,0.0,100.0,39153.02075,186.6407419,105.2790628,543.8123769,176.8508145,8.180308094
COFFEE 1.1,ENGAGE-NPi2020-1000,16831.18236,80.66666667,31.863453,285.2583402,338.6869546,301.7285861,270.4226681,40.49306644
COFFEE 1.1,ENGAGE-NPi2020-1000-COV,16753.92086,83.0,31.720156,261.3193718,319.8727844,294.9501061,250.6918776,34.31338658
COFFEE 1.1,ENGAGE-NPi2020-1000f,23772.60761,79.66666667,-16561.20941,378.5098531,401.4257721,197.1494523,350.9860177,54.64564861
COFFEE 1.1,ENGAGE-NPi2020-1000f-COV,23592.00947,80.83333333,-17300.24424,366.4203829,412.4735173,175.9395128,344.1979775,49.00917559
COFFEE 1.1,ENGAGE-NPi2020-1200,16691.1075,87.16666667,30.900845,286.6652287,298.5512655,300.8361221,274.3668975,39.44414628
COFFEE 1.1,ENGAGE-NPi2020-1200f,23813.47922,85.83333333,-16111.32194,377.3800127,431.8016199,191.2720405,353.1617176,50.82284225
COFFEE 1.1,ENGAGE-NPi2020-1400,16994.84889,90.33333333,31.856824,292.2536709,332.7202452,303.1636295,279.5985126,38.78331198
COFFEE 1.1,ENGAGE-NPi2020-1400f,23186.23309,91.0,-15132.98854,374.0401894,405.337546,178.5450828,348.9406685,50.13891295
COFFEE 1.1,ENGAGE-NPi2020-1600,16985.4911,94.83333333,31.979383,292.9656071,351.2912425,303.8242638,280.1819749,38.55140846
COFFEE 1.1,ENGAGE-NPi2020-1600f,22071.0517,92.66666667,-12988.13534,366.6521608,404.4757488,192.1523514,342.1501383,49.24163047
COFFEE 1.1,ENGAGE-NPi2020-1800,18164.77459,96.83333333,32.672847,295.8902488,349.6817233,319.6809811,278.404863,37.0237148
COFFEE 1.1,ENGAGE-NPi2020-1800f,21125.56879,96.33333333,-9147.627949,357.499383,366.9819715,229.2953075,334.4046772,45.52586162
COFFEE 1.1,ENGAGE-NPi2020-2000,18754.76926,98.83333333,31.260812,302.1181462,344.7349468,324.5004209,282.153962,36.84780229
COFFEE 1.1,ENGAGE-NPi2020-2000f,19848.99065,98.83333333,-4988.699693,335.289395,343.0366751,268.5709482,311.8080764,43.57135084
COFFEE 1.1,ENGAGE-NPi2020-2500,18754.76926,99.83333333,6762.531698,249.9375182,300.875933,361.6601172,241.3773003,26.15109811
COFFEE 1.1,ENGAGE-NPi2020-2500f,14449.08422,99.83333333,6762.531698,249.937515,286.9170356,361.6601169,241.3773006,26.15109811
COFFEE 1.1,ENGAGE-NPi2020-400,16681.67566,48.66666667,33.194205,291.1621714,306.586668,300.4010885,282.0031874,34.94277947
COFFEE 1.1,ENGAGE-NPi2020-400-lowBECCS,11923.21974,51.83333333,36.743321,359.9595171,282.9757381,231.3294674,335.4689527,45.85572167
COFFEE 1.1,ENGAGE-NPi2020-400f,25705.63689,39.5,-21136.56406,381.5086648,499.9305208,177.9633534,360.7623744,57.55894604
COFFEE 1.1,ENGAGE-NPi2020-400f-lowBECCS,11002.97816,54.83333333,-13228.91624,403.8905524,405.9686883,126.7116511,396.917177,65.78155009
COFFEE 1.1,ENGAGE-NPi2020-500,17172.49721,52.33333333,30.106921,288.7962729,349.5855998,304.8140205,273.6437991,38.43393166
COFFEE 1.1,ENGAGE-NPi2020-500f,25597.57832,44.5,-19817.48611,380.7061383,493.9236839,189.4775304,356.7776385,58.04871717
COFFEE 1.1,ENGAGE-NPi2020-600,17264.73282,59.83333333,30.799419,286.5066997,340.8736964,306.2926246,270.9380717,38.83327825
COFFEE 1.1,ENGAGE-NPi2020-600-COV,16677.44325,69.83333333,-128.794435,265.2772896,346.7825705,294.0965439,254.1443186,33.89705542
COFFEE 1.1,ENGAGE-NPi2020-600f,23778.50424,56.16666667,-17247.90689,380.7568686,421.3787536,194.7324302,354.9732662,57.75577397
COFFEE 1.1,ENGAGE-NPi2020-600f-COV,23619.93896,65.0,-18068.87275,370.5863635,437.5437456,182.2421428,344.1216961,56.60791737
COFFEE 1.1,ENGAGE-NPi2020-700,17372.95055,64.16666667,31.499565,285.1773725,365.0168087,307.3113217,270.7976026,37.66672009
COFFEE 1.1,ENGAGE-NPi2020-700f,23868.88469,60.33333333,-17071.84926,379.3749296,460.3330842,195.4151235,353.6839333,55.40198877
COFFEE 1.1,ENGAGE-NPi2020-800,17215.64461,69.33333333,32.374095,287.0623543,364.4879765,305.0123453,271.2090548,39.43691065
COFFEE 1.1,ENGAGE-NPi2020-800f,23942.23573,66.0,-16770.5511,378.7967138,451.6013827,199.5048497,351.0259096,54.94471995
COFFEE 1.1,ENGAGE-NPi2020-900,17166.48517,76.83333333,32.376085,285.894937,354.5137595,305.0578471,270.3253099,39.7848017
COFFEE 1.1,ENGAGE-NPi2020-900f,23911.4244,70.66666667,-16661.86724,379.4148888,454.8293567,199.1710018,350.7947611,56.02067181
COFFEE 1.1,ENGAGE-NPi2100,0.0,100.0,45289.20496,182.1680045,75.80795032,613.588199,159.8659868,0.0
COFFEE 1.1,ENGAGE-NPi2100-COV,105.215867,100.0,42506.95458,168.5184265,76.99490243,571.1517736,147.1259694,5.130391737
GCAM 4.2,SSP1-19,14793.66452,25.16666667,-17674.16641,310.8027402,255.9277936,67.83849921,317.6214126,9.371850386
GCAM 4.2,SSP1-26,11778.0746,67.0,-10963.87157,292.3295362,210.9389863,120.0182748,307.6041604,7.617474423
GCAM 4.2,SSP1-34,7227.177608,92.5,-1345.64382,266.5130549,143.5469842,208.2081938,285.8817866,5.347426317
GCAM 4.2,SSP1-45,1091.055191,99.16666667,15369.05912,225.9717308,93.18178926,364.4823052,222.501844,3.553609925
GCAM 4.2,SSP1-Baseline,0.0,100.0,34839.84627,209.0665583,94.53561399,516.706745,161.9142185,2.25798143
GCAM 4.2,SSP2-19,30245.42885,36.33333333,-31683.69562,434.7176487,453.4467816,113.733254,189.0405275,199.0610347
GCAM 4.2,SSP2-26,25412.60949,73.0,-24018.22941,414.4206081,391.7434144,142.8418338,187.4691451,205.2392214
GCAM 4.2,SSP2-34,19784.1915,98.33333333,-10434.94681,373.7816133,291.6740548,248.2696854,175.549763,193.2991428
GCAM 4.2,SSP2-45,16480.35174,99.33333333,6128.501101,331.7472018,201.7100152,427.7192172,151.0078669,165.247769
GCAM 4.2,SSP2-60,6930.76252,100.0,28723.42246,279.6875753,127.9153018,658.361445,130.1844252,106.4634568
GCAM 4.2,SSP2-Baseline,0.0,100.0,75357.35645,254.0680869,109.1248477,991.014484,87.22813564,61.93385165
GCAM 4.2,SSP3-Baseline,0.0,100.0,86114.0111,192.6127061,115.0745346,989.134986,52.60455211,3.127627747
GCAM 4.2,SSP4-26,25323.43961,73.83333333,-27544.50487,333.8956939,448.1724451,57.95002757,183.1180572,138.8901874
GCAM 4.2,SSP4-34,20011.52917,96.33333333,-15962.10444,307.9149347,357.7322559,120.2527237,172.2023366,136.0870879
GCAM 4.2,SSP4-45,13184.76591,99.5,7694.019169,257.6784142,187.7449319,351.0315871,132.8760191,114.9691191
GCAM 4.2,SSP4-Baseline,0.0,100.0,44784.7228,205.6278635,110.7868318,630.820841,98.42642617,63.54574801
GCAM 4.2,SSP5-19,26024.35087,29.33333333,-26395.09346,494.7192297,393.7978,161.8482149,244.6278074,239.8827598
GCAM 4.2,SSP5-26,27188.12662,72.0,-21665.96217,477.0336095,373.2995926,236.5516487,230.4281911,225.9267925
GCAM 4.2,SSP5-34,29244.4169,95.33333333,-9437.765414,460.7860629,299.9453637,434.0946177,195.1296161,200.4421456
GCAM 4.2,SSP5-45,32003.01397,99.16666667,14205.10415,416.778094,195.6562197,784.2400123,142.848612,156.50627
GCAM 4.2,SSP5-60,1262.600488,100.0,21765.78798,397.876997,161.327278,845.982262,152.5285649,135.8100197
GCAM 4.2,SSP5-Baseline,0.0,100.0,104118.6229,319.2187794,77.42904762,1429.696218,75.65308028,54.12192831
GCAM 5.2,NGFS Phase 1-Immediate 2C°C with CDR,13777.20662,83.0,-9005.438759,407.495181,198.9377862,175.3657196,324.6465008,96.23854312
GCAM 5.3,Deep-Mitigation-MAC_30_n0,21661.65382,48.83333333,-0.366363467,394.6934277,186.5426242,435.8968354,222.4252287,110.2580673
